666805.306840408 + 136871.522861596i,569503.810882916 + 94219.5840818209i,655879.986959318 + 140504.520557395i
-122734.200406411 - 50866.4841670451i,-55147.2353044710 - 19528.6456805558i,-159631.365040069 - 68762.0340393517i
-114714.229901495 - 53053.6124785851i,-12116.7108470100 - 5316.31189028417i,-28968.6994970278 - 13509.7925744792i
-32480.6065057263 - 8397.53560495857i,-86772.2103987405 - 33939.0723383815i,-26395.6093048153 - 6221.18819733088i
-4202.29555788226 - 1135.52366782344i,-11697.5664948847 - 4570.18687149141i,-1584.53219682452 - 261.692131632666i
-89980.7768769449 - 37577.0189754529i,-26882.8338829918 - 8494.61063025266i,-215588.773763592 - 95442.5238847429i
-55253.7435482716 - 22783.0221469987i,-30932.5579533322 - 11391.0559955749i,-15754.7983926385 - 4443.83611507368i
-7176.92104603237 + 96748.1758929790i,2.34285835176706e-09 + 100005.867010875i,-8.06903699412942e-09 + 100005.867010858i
-1620.59507492052 - 732.042946527922i,8.46728234852647e-09 + 1.00965996673331e-08i,-1.13802066674830e-08 + 1.02507734953577e-08i
2.20782333095014e-09 - 2.20948074832230e-09i,-1.44349939594112e-08 - 1.44747428093851e-08i,1.00403030509159e-08 - 2.09290911086733e-08i
-1.11424778864860e-08 - 1.92454358671994e-08i,2.38407949021799e-08 + 8.91509919203323e-09i,-1.71452913619453e-08 + 2.43022639807684e-08i
-32792.4238221816 - 6640.88959887121i,-90510.8099675139 - 35051.0563286651i,-23087.3544581194 - 2753.66154815962i
-70960.1629962438 - 12061.2075908699i,-99131.3157038311 - 27675.1236072608i,-71269.3811370267 - 12958.7602472466i
-800.046936087494 + 310.168196574500i,-5782.83925992642 - 976.457285478486i,-4198.74632644124 - 9.65056616259608i
-60.0035202075304 + 358.021003927219i,-712.541802450704 + 202.511880688596i,-579.033969983342 + 175.010267270240i
-2685.15752923766 + 590.034615375430i,-470.027574937185 + 8105.47552126827i,-385.022587992710 + 810.047522815963i
-4630.27164260586 + 2980.17483692245i,-2.28383214562200e-08 + 2570.15078218170i,-3.79259290639311e-09 + 1735.10179261367i
-2754.66160682110 - 542.531828499682i,-2755.16163611414 - 542.531828521705i,-2754.16157745228 - 542.531828472006i
-1910.11205992038 - 374.521971965350i,-1910.11205991087 - 374.521971935456i,-1909.61203059379 - 374.521971959616i
8.87183422554833e-10 + 1.10355145307597e-08i,4.42746818875569e-09 - 8.71539321985809e-09i,1.10747116726922e-08 + 5.16522603701906e-09i
-3.21062110367781e-10 - 1.34097936427833e-09i,-6.33717590935546e-10 - 1.14416787847281e-09i,2.68150785959442e-12 - 1.33677738533273e-09i
-117060.317538627 - 37030.8724778531i,-140213.125836714 - 50073.8876680918i,-98296.5667319214 - 31185.8295686787i
