2401.84757505774 + 0.00000000000000i,-1200.92378752887 - 2080.06101601805i,-1200.92378752887 + 2080.06101601805i
2396.75286791640 - 9.08922170117480i,-1204.61945875843 - 2073.78053467390i,-1191.07081903523 + 2078.43645092702i
2390.68854600666 - 12.7260440699026i,-1205.01881886460 - 2067.50562513734i,-1185.84553947221 + 2075.35204597514i
2388.14410285485 - 17.6750651996461i,-1208.51789553103 - 2060.66074432266i,-1178.95276030789 + 2076.06676930833i
2383.83677171291 - 25.7796613306908i,-1210.51016710005 - 2059.04027378509i,-1165.73631574255 + 2067.79624041294i
2384.57061189092 - 29.0964565965412i,-1210.80908754665 - 2060.12128302254i,-1161.26885356535 + 2067.17566416970i
2369.58149891451 - 61.3067608052650i,-1240.80324293226 - 2046.28728672016i,-1139.03568550860 + 2086.42347318630i
2370.78821969910 - 62.0138987942509i,-1241.99067982643 - 2047.20470818806i,-1139.24503224106 + 2087.80311629545i
2369.45377755118 - 61.3150571854487i,-1240.81868810180 - 2046.30495550268i,-1139.05038242068 + 2086.40606755905i
2369.45380635087 - 61.3150696492279i,-1240.81871345181 - 2046.30497455711i,-1139.05038614360 + 2086.40609878510i
2385.49420175831 - 19.4675532173449i,-1210.98772407143 - 2054.79109770553i,-1176.63812063390 + 2076.84348590602i
2382.84424223395 - 21.2600172396979i,-1213.45750258280 - 2048.92141253877i,-1174.32347251757 + 2077.62013985400i
2377.77196254324 - 27.3551619169005i,-1219.76863694936 - 2037.07264855238i,-1166.81250824858 + 2079.11583659974i
2377.69277545939 - 27.6107254899802i,-1220.02735730076 - 2037.08298295028i,-1166.72829209887 + 2079.09501400251i
2377.50907702619 - 28.0513682526522i,-1220.38731699669 - 2037.23013655536i,-1166.68303082268 + 2078.96533913522i
2377.41671597249 - 28.3431003386540i,-1220.60685563055 - 2037.37344411173i,-1166.67567331705 + 2078.88168385447i
2376.19338750349 - 29.3871289178253i,-1221.06467019796 - 2036.76840025934i,-1166.22276791387 + 2078.57505076187i
2376.15539223558 - 29.4442880563139i,-1221.09506368678 - 2036.70656922298i,-1166.15439328683 + 2078.57093008630i
2376.12359909618 - 29.4769673456289i,-1221.10736422313 - 2036.66251286024i,-1166.11028213360 + 2078.55988327939i
2376.12362813392 - 29.4769794072925i,-1221.10738928427 - 2036.66253184960i,-1166.11028622860 + 2078.55991458622i
2377.41752617346 - 28.3433295771934i,-1220.60746131870 - 2037.37402783058i,-1166.67588022254 + 2078.88250260335i
2381.45916995950 - 22.3724380746945i,-1214.36206343181 - 2046.62805105121i,-1173.10759236083 + 2077.60772294246i
