Vol A 	Vol B 	Vol C 	Ang A 	Ang B 	Ang C 	
0.993841	0.998252	0.989724	-0.601781	-2.688536	1.490264	
0.989919	0.993372	0.986411	-0.605574	-2.694151	1.485687	
0.994469	0.999551	0.991981	-0.595002	-2.685160	1.498024	
0.987708	0.995412	0.983984	-0.604982	-2.691072	1.488145	
0.989000	0.000000	0.981367	-0.584511	0.000000	1.486538	
0.981855	0.983775	0.979878	-0.578353	-2.675362	1.506312	
0.000000	0.000000	0.980151	0.000000	0.000000	1.486031	
0.990296	0.995013	0.986734	-0.604705	-2.692158	1.487794	
0.989826	0.992654	0.986244	-0.605916	-2.695014	1.484651	
0.991613	0.996611	0.987186	-0.604443	-2.690608	1.488680	
0.989000	0.000000	0.982020	-0.584511	0.000000	1.486804	
0.990016	0.993528	0.986506	-0.605499	-2.694012	1.485814	
0.988988	0.993002	0.989727	-0.584506	-2.681536	1.488361	
0.983161	0.986460	0.983864	-0.579456	-2.677623	1.505461	
0.986730	0.995116	0.983718	-0.604876	-2.691114	1.488321	
0.989782	0.992642	0.986215	-0.605955	-2.695019	1.484660	
0.990657	0.995289	0.986717	-0.604751	-2.691867	1.487729	
0.990412	0.995080	0.986761	-0.604725	-2.692112	1.487752	
0.990777	0.995485	0.986637	-0.604820	-2.691676	1.487730	
0.992348	0.997253	0.987984	-0.603475	-2.689778	1.489761	
0.989908	0.993363	0.986402	-0.605581	-2.694158	1.485682	
0.992745	0.997026	0.992300	-0.589724	-2.683469	1.500899	
0.989820	0.992693	0.986251	-0.605928	-2.694988	1.484692	
0.989899	0.992991	0.986357	-0.605791	-2.694680	1.485061	
0.990887	0.996751	0.986919	-0.604731	-2.690621	1.488733	
0.993586	0.998267	0.989757	-0.601044	-2.688264	1.491828	
0.994369	0.999520	0.992018	-0.594806	-2.685185	1.498010	
0.989000	0.000000	0.980079	-0.584511	0.000000	1.486006	
0.000000	0.000000	0.980025	0.000000	0.000000	1.485986	
0.994157	1.000076	0.991845	-0.595583	-2.685997	1.497607	
0.991468	0.996641	0.987142	-0.604502	-2.690606	1.488696	
0.990422	0.995089	0.986767	-0.604724	-2.692106	1.487753	
0.989249	0.991904	0.985658	-0.606317	-2.695429	1.484188	
0.990864	0.995643	0.986570	-0.604879	-2.691528	1.487733	
0.989859	0.993351	0.986257	-0.605532	-2.694012	1.485773	
0.989911	0.993425	0.986348	-0.605533	-2.694019	1.485780	
0.990371	0.994110	0.986843	-0.605009	-2.693250	1.486599	
0.990376	0.995051	0.986740	-0.604729	-2.692130	1.487748	
0.986539	0.994954	0.983708	-0.604829	-2.691131	1.488350	
0.989911	0.993425	0.986348	-0.605533	-2.694019	1.485780	
0.989955	0.993473	0.986417	-0.605519	-2.694016	1.485797	
0.989939	0.993232	0.986412	-0.605663	-2.694373	1.485412	
0.993945	0.998215	0.989685	-0.602147	-2.688671	1.489423	
0.987614	0.000000	0.000000	-0.605008	0.000000	0.000000	
0.983788	0.987191	0.984081	-0.580115	-2.677931	1.505354	
0.990544	0.995147	0.986767	-0.604711	-2.692015	1.487734	
0.989847	0.992810	0.986288	-0.605871	-2.694858	1.484845	
0.992844	0.997331	0.992543	-0.589959	-2.683932	1.500685	
0.990190	0.995751	0.984410	-0.605209	-2.690900	1.487734	
0.990434	0.995093	0.986769	-0.604721	-2.692098	1.487752	
0.985697	0.000000	0.000000	-0.604843	0.000000	0.000000	
0.000000	0.000000	0.980847	0.000000	0.000000	1.486322	
0.000000	0.992632	0.986210	0.000000	-2.695013	1.484627	
0.990896	0.000000	0.000000	-0.604738	0.000000	0.000000	
0.983472	0.986823	0.983972	-0.579783	-2.677776	1.505408	
0.990932	0.995766	0.986518	-0.604925	-2.691412	1.487736	
0.982088	0.984388	0.980646	-0.578698	-2.675923	1.506114	
0.989923	0.993379	0.986415	-0.605573	-2.694149	1.485685	
0.989249	0.991904	0.985658	-0.606317	-2.695429	1.484188	
0.993030	0.997405	0.992354	-0.590385	-2.683696	1.500541	
0.991174	0.996008	0.986702	-0.604865	-2.691236	1.487850	
0.989824	0.992649	0.986243	-0.605919	-2.695023	1.484645	
0.989900	0.992992	0.986358	-0.605793	-2.694681	1.485059	
0.989888	0.992984	0.986344	-0.605784	-2.694665	1.485072	
0.992159	0.000000	0.000000	-0.603880	0.000000	0.000000	
0.990252	0.994978	0.000000	-0.604702	-2.692177	0.000000	
0.989000	0.993000	0.990000	-0.584511	-2.681524	1.503427	
0.990352	0.995055	0.986754	-0.604722	-2.692134	1.487776	
0.990737	0.995419	0.986664	-0.604797	-2.691740	1.487730	
0.992793	0.997669	0.988638	-0.602611	-2.689253	1.490536	
0.986683	0.995042	0.983687	-0.604860	-2.691113	1.488330	
0.986596	0.000000	0.000000	-0.605136	0.000000	0.000000	
0.990399	0.995078	0.986763	-0.604723	-2.692116	1.487761	
0.990867	0.995903	0.985952	-0.605104	-2.691146	1.487646	
0.986659	0.995009	0.983694	-0.604851	-2.691117	1.488333	
0.000000	0.000000	0.984114	0.000000	0.000000	1.487619	
0.989312	0.991938	0.985700	-0.606277	-2.695402	1.484211	
0.989818	0.993310	0.986190	-0.605542	-2.694007	1.485764	
0.989892	0.992984	0.986349	-0.605785	-2.694673	1.485067	
0.990190	0.000000	0.000000	-0.604956	0.000000	0.000000	
0.000000	0.000000	0.980760	0.000000	0.000000	1.486286	
0.990312	0.995025	0.986740	-0.604709	-2.692152	1.487790	
0.989900	0.992992	0.986357	-0.605793	-2.694681	1.485060	
0.991968	0.996913	0.987558	-0.603990	-2.690212	1.489187	
0.987440	0.991449	0.988425	-0.583245	-2.680607	1.503987	
0.989897	0.992989	0.986355	-0.605788	-2.694676	1.485064	
0.992258	0.000000	0.987941	-0.603697	0.000000	1.489770	
0.989338	0.992007	0.985746	-0.606261	-2.695373	1.484254	
0.989872	0.992916	0.986322	-0.605820	-2.694740	1.484985	
0.989969	0.993376	0.986451	-0.605592	-2.694204	1.485606	
0.989890	0.992983	0.986345	-0.605784	-2.694667	1.485068	
0.993860	0.998849	0.990520	-0.599095	-2.687286	1.493892	
0.992135	0.000000	0.000000	-0.603926	0.000000	0.000000	
0.989956	0.993409	0.986445	-0.605566	-2.694140	1.485687	
0.982060	0.984026	0.980186	-0.578535	-2.675548	1.506214	
0.000000	0.000000	0.980311	0.000000	0.000000	1.486092	
0.000000	0.992646	0.986232	0.000000	-2.695014	1.484642	
0.990394	0.995065	0.986751	-0.604727	-2.692121	1.487750	
0.993860	0.998849	0.990520	-0.599095	-2.687285	1.493892	
0.989832	0.993313	0.986209	-0.605532	-2.694008	1.485769	
0.000000	0.000000	0.989704	0.000000	0.000000	1.488477	
0.991069	0.996724	0.987020	-0.604666	-2.690602	1.488738	
0.994249	0.999804	0.991775	-0.595610	-2.685542	1.497540	
0.989926	0.993446	0.986374	-0.605529	-2.694017	1.485789	
0.989871	0.992910	0.986319	-0.605825	-2.694745	1.484980	
0.989893	0.992985	0.986350	-0.605785	-2.694674	1.485067	
0.991012	0.996731	0.986964	-0.604689	-2.690604	1.488731	
0.990054	0.993606	0.986555	-0.605440	-2.693918	1.485922	
0.990798	0.995189	0.986779	-0.604922	-2.692114	1.487331	
0.989897	0.992989	0.986355	-0.605789	-2.694677	1.485064	
0.990324	0.995034	0.986744	-0.604713	-2.692147	1.487786	
0.000000	0.000000	0.980198	0.000000	0.000000	1.486036	
0.989683	0.992505	0.986120	-0.606025	-2.695101	1.484574	
0.990352	0.995055	0.986754	-0.604722	-2.692134	1.487776	
0.987059	0.995185	0.983815	-0.604905	-2.691101	1.488260	
0.989890	0.992983	0.986348	-0.605783	-2.694672	1.485068	
0.990717	0.000000	0.000000	-0.604802	0.000000	0.000000	
0.989821	0.992642	0.986242	-0.605924	-2.695034	1.484638	
0.993766	0.998290	0.989760	-0.601527	-2.688450	1.490898	
0.989886	0.992984	0.986344	-0.605784	-2.694663	1.485076	
0.990578	0.995178	0.986759	-0.604716	-2.691979	1.487731	
0.989896	0.992988	0.986353	-0.605787	-2.694675	1.485065	
0.000000	0.992616	0.986204	0.000000	-2.695019	1.484621	
0.990731	0.995883	0.985571	-0.605202	-2.691069	1.487580	
0.989893	0.992985	0.986351	-0.605785	-2.694674	1.485067	
0.990496	0.995104	0.986778	-0.604704	-2.692064	1.487738	
0.992207	0.996431	0.991975	-0.588952	-2.683184	1.501265	
0.992305	0.000000	0.987963	-0.603581	0.000000	1.489765	
0.990479	0.995038	0.986797	-0.604680	-2.692095	1.487736	
0.993901	0.998222	0.989696	-0.601981	-2.688603	1.489764	
0.000000	0.000000	0.982721	0.000000	0.000000	1.487080	
0.986568	0.994948	0.983709	-0.604830	-2.691129	1.488345	
0.990940	0.994962	0.991217	-0.587107	-2.682532	1.502085	
0.000000	0.992627	0.986208	0.000000	-2.695015	1.484625	
0.986717	0.000000	0.000000	-0.605150	0.000000	0.000000	
0.989232	0.991887	0.985643	-0.606327	-2.695438	1.484177	
0.990054	0.993644	0.986575	-0.605410	-2.693865	1.485994	
0.989716	0.992551	0.986152	-0.606001	-2.695074	1.484603	
0.000000	0.000000	0.980207	0.000000	0.000000	1.486040	
0.986135	0.000000	0.000000	-0.604859	0.000000	0.000000	
0.985889	0.989906	0.986858	-0.581982	-2.679691	1.504547	
0.990972	0.996736	0.986924	-0.604705	-2.690606	1.488727	
0.989634	0.992438	0.986074	-0.606059	-2.695142	1.484533	
0.986722	0.995104	0.983715	-0.604876	-2.691121	1.488319	
0.989896	0.992988	0.986353	-0.605787	-2.694676	1.485065	
0.989819	0.992638	0.986240	-0.605926	-2.695036	1.484636	
0.989799	0.993305	0.986166	-0.605556	-2.694006	1.485757	
0.991044	0.995930	0.986448	-0.604975	-2.691246	1.487732	
0.000000	0.000000	0.980249	0.000000	0.000000	1.486068	
0.988686	0.992688	0.989683	-0.584257	-2.681340	1.503539	
0.989420	0.992130	0.985842	-0.606211	-2.695312	1.484333	
0.989900	0.992992	0.986357	-0.605793	-2.694681	1.485060	
0.994115	0.998979	0.992318	-0.593428	-2.684728	1.498838	
0.989897	0.992989	0.986354	-0.605788	-2.694676	1.485064	
0.987132	0.993000	0.989995	-0.605144	-2.681518	1.503424	
0.989891	0.992983	0.986349	-0.605784	-2.694673	1.485068	
0.993209	0.998029	0.989206	-0.601904	-2.688788	1.491167	
0.990421	0.000000	0.000000	-0.604902	0.000000	0.000000	
0.985813	0.000000	0.000000	-0.604848	0.000000	0.000000	
0.989981	0.993433	0.986468	-0.605563	-2.694135	1.485685	
0.986607	0.994940	0.983709	-0.604832	-2.691126	1.488338	
0.993926	0.998988	0.990702	-0.598632	-2.687053	1.494383	
0.993939	0.998202	0.989678	-0.602109	-2.688646	1.489445	
0.989552	0.992322	0.985991	-0.606119	-2.695209	1.484459	
0.994059	1.000359	0.991920	-0.595553	-2.686483	1.497677	
0.986332	0.000000	0.983644	-0.604866	0.000000	1.488402	
0.993193	0.998007	0.989191	-0.601870	-2.688773	1.491183	
0.981707	0.983575	0.979606	-0.578198	-2.675192	1.506385	
0.990877	0.994957	0.991170	-0.587035	-2.682477	1.502174	
0.989832	0.992748	0.986269	-0.605901	-2.694927	1.484764	
0.000000	0.992621	0.986206	0.000000	-2.695017	1.484623	
0.989899	0.992991	0.986356	-0.605790	-2.694678	1.485062	
0.990252	0.994978	0.986710	-0.604702	-2.692177	1.487798	
0.988525	0.995543	0.984119	-0.605063	-2.691012	1.488011	
0.990084	0.993669	0.986594	-0.605392	-2.693843	1.486008	
0.000000	0.992622	0.986206	0.000000	-2.695017	1.484623	
0.994069	0.999287	0.991096	-0.597631	-2.686550	1.495442	
0.989893	0.992985	0.986351	-0.605786	-2.694674	1.485066	
0.991178	0.996003	0.986691	-0.604864	-2.691235	1.487843	
0.000000	0.000000	0.989640	0.000000	0.000000	1.488959	
0.986650	0.000000	0.000000	-0.605141	0.000000	0.000000	
0.981825	0.984095	0.980305	-0.578597	-2.675813	1.506147	
0.990561	0.000000	0.000000	-0.604857	0.000000	0.000000	
0.000000	0.000000	0.981243	0.000000	0.000000	1.486491	
0.982882	0.985688	0.982233	-0.579327	-2.676830	1.505782	
0.993564	0.998112	0.992454	-0.591621	-2.684121	1.499871	
0.993071	0.997459	0.992361	-0.590480	-2.683729	1.500489	
0.987314	0.000000	0.000000	-0.605093	0.000000	0.000000	
0.989639	0.993666	0.990398	-0.585372	-2.681849	1.503000	
0.000000	0.000000	0.981255	0.000000	0.000000	1.486496	
